sentiment;score;word
digital;1;threedimens
negative;1;traffic
negative;1;cortex
negative;1;agricultur
negative;1;chemic
negative;1;rat
negative;1;protein
negative;1;gene
negative;1;physician
negative;1;cortic
negative;1;fmri
negative;1;prefront
negative;1;eeg
negative;1;equilibrium
negative;1;surgeri
negative;1;soil
negative;1;veget
negative;1;hippocampu
digital;1;cybercultur
negative;1;athlete
negative;1;cancer
education;1;academ
education;1;grade
education;1;extracurricular
education;1;classroom
education;1;lesson
music;1;choir
music;1;ensembl
music;1;pop
music;1;rap
games;1;gamif
